Ranking države,Narod,Število članov,Povprečna starost,Skupna vrednost,Točke
153,Lesotho,25,28.7,€625k,1034
154,Puerto Rico,19,22.4,€900k,1022
155,Yemen,26,25.1,€1.43m,1021
156,Guyana,23,26.3,€5.53m,1020
157,Hong Kong,23,27.4,€4.93m,1018
158,Tahiti,17,27.6,-,1017
159,Eswatini,23,28.1,€400k,1012
160,New Caledonia,22,26.9,-,1009
161,Singapore,26,26.9,€3.68m,1008
162,Vanuatu,23,28.2,€600k,1005
163,Maldives,23,28.3,€1.78m,1003
164,Saint Lucia,23,27.2,€525k,998
165,Cuba,23,22.7,€1.60m,992
166,C. Taipei,26,24.5,€2.05m,991
167,Myanmar,26,26.7,€2.50m,989
168,Papua N. Guinea,23,28.7,-,984
169,Andorra,31,28.6,€3.37m,982
170,Bermuda,24,25.9,€125k,973
171,Malta,26,27.5,€13.80m,972
172,South Sudan,26,26.3,€1.08m,968
173,Grenada,23,25.1,€1.38m,947
174,St. Vincent,23,26.6,€585k,946
175,Barbados,23,24.3,-,944
176,Nepal,20,25.2,€1.83m,936
177,Chad,30,25.0,€3.43m,932
178,Mauritius,22,25.9,€700k,928
179,Montserrat,20,27.7,€525k,924
180,Cambodia,23,25.5,€2.25m,920
181,Dominica,22,25.8,-,917
182,Belize,21,26.4,€125k,913
183,Brunei,23,27.7,€1.14m,907
184,Bhutan,24,25.2,€1.03m,904
185,Samoa,21,23.4,€285k,901
186,Bangladesh,23,24.2,€3.03m,897
187,Laos,23,23.2,€1.68m,890
188,Mongolia,23,26.6,€1.18m,884
189,A. Samoa,23,24.4,-,883
190,São Tomé and P.,21,27.1,€650k,878
191,Cook Islands,19,27.4,-,878
192,Djibouti,23,27.5,-,875
193,Macau,24,26.9,€510k,872
194,Aruba,23,24.1,-,868
195,Cayman Islands,20,23.8,€10k,857
196,Timor-Leste,23,23.2,€1.03m,845
197,Pakistan,24,24.0,€1.18m,843
198,Gibraltar,23,26.0,€1.75m,842
199,Tonga,23,22.3,€10k,836
200,Sri Lanka,23,26.5,€1.48m,831
201,Seychelles,33,25.0,€35k,831
202,Somalia,23,26.0,€1.10m,830
203,Liechtenstein,24,26.4,€1.23m,827
204,Guam,25,25.8,€580k,822
205,Bahamas,18,22.6,-,817
206,Turks-Caicos,16,20.9,€100k,803
207,US Virgin,21,24.4,-,792
208,B. Virgin,20,21.7,-,791
209,Anguilla,22,23.9,-,782
210,San Marino,27,24.5,€1.08m,746
